abrasives	Abrasives remove material from a workpiece.
instant-adhesives	Instant adhesives, also known as superglues, are one-part adhesives that bond and cure the fastest among all adhesives and require minimal clamping time.
hot-melt-adhesives	Hot melt adhesives join and seal light- to medium-weight materials using hot-melt glue sticks that are inserted in a glue gun applicator.
wood-glues	Wood glues bond wooden parts together or wood to other materials in a variety of environments and perform well on hard and soft wood, as well as particleboard and composites.
general-purpose-glues	General purpose glues, also known as white glues, are for everyday bonding and repair tasks when a specialized glue isn't required.
shoe-fabric-repair-glues	Shoe and fabric glues repair damaged shoes, fabrics, gloves, and other flexible materials with an abrasion-resistant bond that is waterproof so repaired items can be worn outdoors.
hybrid-adhesive-sealants	Hybrid adhesive sealants combine the properties of an adhesive and a sealant to bond materials while preventing moisture and contaminant intrusion.
adhesive-sealant-surface-preparation	Adhesive and sealant surface preparation chemicals and solvents ensure that materials bond properly.
caulks-sealants-gasket-makers	Caulks, sealants, and gasket makers are compounds that fill gaps and seal mating components to keep out contaminants and prevent leaks.
caulks-sealants	Caulks and sealants fill small gaps, seams, and joints around building and fixture components to form a strong, flexible bond that provides a finished look, seals out moisture and pests, and protects against the elements to improve energy…
spray-foam-sealants	Spray foam sealants fill gaps around doors, windows, ductwork, and plumbing fixtures to provide a barrier against air flow, dust, and pests.
gasket-sealants-makers	Gasket sealants and makers join two mating surfaces together, such as flanged components, to seal the bond and prevent leaks.
pipe-sealants	Pipe sealants prevent leaks and loosening in pipe joints due to vibration, and seal out contaminants to prevent corrosion.
valve-sealants	Valve sealants protect valves from outside contaminants and prevent corrosion on internal components by filling in gaps, seams, and joints to seal out media flowing through the pipe.
threadlockers-retaining-compounds	Threadlockers and retaining compounds are adhesives that hold mechanical parts together to resist vibration.
threadlockers-for-plastics	These threadlockers work with plastic fasteners to fill the space between the threads of plastic bolts and screws to hold them in place and form a barrier to prevent leaks.
reusable-threadlockers-for-metals-plastics	Reusable threadlockers remain soft and flexible for metal and plastic fasteners that require removal, adjustment, and reuse.
retaining-compounds-for-metals	Retaining compounds fill the space between unthreaded metal parts to hold them in place and dampen vibration.
potting-compounds-protective-coatings	Potting compounds and protective coatings adhere to parts and components to cover and protect them from abrasion, corrosion, and wear.
concrete-asphalt-repair	Concrete and asphalt repair compounds patch holes and cracks, clean, resurface, and protect paved areas to improve the performance and extend the life of concrete and asphalt surfaces.
patching-compounds-for-concrete-asphalt-repair	Patching compounds repair cracks, level floors, and resurface paved areas to improve the performance and working life of concrete and asphalt surfaces.
joint-sealants-crack-fillers-for-concrete-asphalt-repair	Joint sealants and crack fillers flow smoothly into cracks and expansion joints in concrete or asphalt.
cleaners-sealcoatings-for-concrete-asphalt	Concrete and asphalt cleaners and sealcoatings help maintain the function and appearance of paved surfaces.
concrete-mix-cement	Concrete is a widely-used building material for pouring driveways, sidewalks, foundations, columns, and anchoring posts and pilings.
patching-repairing-compounds	Patching and repairing compounds fill small cracks and holes to smooth over imperfections or to quickly repair a damaged surface and stop leaks.
wall-repair-patching	Wall repair patching products fill and conceal panel joints, nail and screw heads, cracks, and holes to smooth the surface of a wall in preparation for painting.
wood-fillers-hardeners	Wood fillers and hardeners disguise minor holes, dents, and cracks in finished wood, repair damaged wood, or restore, strengthen and protect weathered wood.
surface-repair-patches-fillers	Surface repair patches and fillers provide a quick solution to patch holes and cracks in damaged surfaces, or fill cavities to seal or anchor parts.
adhesive-sealant-dispensing-equipment	Adhesive and sealant dispensing equipment is refilled with compatible cartridges or bulk material to mix, measure, and consistently distribute adhesives and sealants.
caulk-gun-applicators-accessories	Caulk gun applicators dispense single-component sealants and adhesives that bond materials and fill gaps or joints between surfaces.
two-part-applicators-nozzles	Two-part applicators and nozzles dispense two-part adhesives that bond materials together.
hot-melt-applicators	Hot melt applicators, also known as hot glue guns, melt adhesives to produce a controlled flow of glue that bonds materials.
dispensing-syringes-bottles-tips	Dispensing syringes, bottles, and tips help apply adhesives and sealants for bonding.
tape	Tape seals, repairs, wraps, joins, mounts, masks, and protects equipment and surfaces.
sealing-repair-tape	Sealing and repair tape is used to patch, wrap, and seal surfaces, as well as hang materials and bundle items.
masking-tape-painter-s-tape-dispensers	Masking tape is designed for temporary holding, wrapping, marking, and labeling applications.
electrical-tape	Electrical tape wraps around wires, cables, and components to either insulate the flow of electricity or conduct electricity between circuits and contacts.
mounting-bonding-tape-dispensers	Mounting and bonding tape is used to display items and adhere surfaces together when pressure is applied.
adhesive-transfer-tape-dispensers	Adhesive transfer tape mounts and bonds material and components in applications where a very thin layer of adhesive is needed.
surface-protection-tape	Surface protection tape covers, reinforces, and protects surfaces from impact damage, light, heat, and chemicals.
specialty-application-tape	Specialty application tape is used in specific settings that require tape with unique properties.
residue-free-gaffer-s-tape	Gaffer's tape secures lighting components and cables to surfaces without leaving adhesive residue.
cleaning-and-janitorial	Cleaning and janitorial products keep commercial and industrial facilities clean and well-maintained.
waste-recycling-trash-supplies	Waste, recycling, and trash supplies collect, sort, and transport trash and recycling materials for proper disposal.
trash-bags	Trash bags contain waste for disposal.
trash-recycling-containers	Trash and recycling containers collect, contain, sort, and support trash and recycling operations.
prepaid-recycling-kits	Prepaid recycling kits simplify compliance with regulations concerning hazardous material recycling and disposal.
cigarette-disposal	Cigarette disposal products keep smoking areas clean while reducing fire hazards and minimizing litter.
pet-waste-disposal	Pet waste disposal products provide pet owners with convenient access to pet waste bags and disposal stations.
sanitary-napkin-disposal	Sanitary napkin disposal products help keep restrooms clean and reduce plumbing issues by providing a convenient and clean way to dispose of feminine hygiene, personal care, and incontinence products.
trash-pickers-grabbers	Trash pickers and grabbers are used by workers to pick up trash in parks, building grounds, highways, and other areas where trash and litter accumulate.
trash-compactors-balers-can-crushers	Trash compactors, balers, and can crushers reduce the volume of waste, allowing more trash to fit in receptacles and lowering disposal costs.
paper-products-dispensers	Paper products are disposable, sanitary items typically used in hotels, restaurants, medical facilities, and workplaces to encourage cleanliness.
paper-towels-dispensers	Paper towels are often used instead of cloth rags to reduce the chances of cross-contamination and eliminate the need for laundering.
bathroom-tissue-dispensers	Bathroom tissue is paper tissue supplied on a roll that is provided near toilets to facilitate personal hygiene and cleanliness.
facial-tissues-dispensers	Facial tissues are soft, absorbent paper sheets designed for cleansing the face or blowing the nose.
toilet-seat-covers-dispensers	Toilet seat covers are disposable paper tissues shaped like a toilet seat that provide a hygienic barrier between the user and the toilet.
door-handle-tissues-dispensers	Door handle tissues and dispensers provide single-use paper sheets to encourage hygiene and avoid exposure to germs.
hand-personal-care	Hand and personal care products encourage germ control and cleanliness in correctional facilities, hospitals, and workplaces.
hand-soap-cleaners-dispensers	Hand soap cleanses hands of dirt during general handwashing operations.
hand-cleaning-wipes	Hand cleaning wipes combine textured material with cleaning solution to effectively scrub stubborn industrial soils from hands without rinsing or damaging the skin.
hand-sanitizer-dispensers	Hand sanitizer and sanitizing wipes contain alcohol or alcohol-free agents that kill bacteria and germs.
hand-body-lotion	Hand and body lotions keep skin moisturized to prevent dryness, flaking, and cracking that can cause itching and pain.
facial-body-hair-care	Facial, body, and hair care products promote healthy hair and skin.
hand-dryers	Hand dryers blow streams of air to dry hands in restrooms, significantly reducing waste and eliminating the need to stock paper towels.
sanitary-napkins-tampons-dispensers	Individually wrapped sanitary napkins and tampons conveniently restock sanitary napkin and tampon dispensers to provide access to feminine hygiene products in commercial restrooms.
oral-care	Oral care products clean mouths and teeth to help prevent tooth decay, gum disease, and bad breath.
cleaning-chemicals	Cleaning chemicals help clean, degrease, sanitize, and disinfect surfaces.
surface-disinfectants-sanitizers	Surface disinfectants and sanitizers reduce the number of germs on hard, nonporous surfaces to help prevent the spread of germs.
degreasers	Degreasers are cleaning agents that remove water-insoluble substances such as grease and oils from hard surfaces like floors, machinery, parts, and tools.
cleaners	Chemicals clean and degrease multiple surfaces.
dilution-control-systems	Dilution control systems help eliminate waste by accurately diluting and mixing cleaning chemicals to fill bottles, buckets, sinks, and floor care machines quickly from a central or remote location.
dishwashing	Dishwashing chemicals help remove grease and food residue from dishes, pots, and pans in various applications, including commercial, residential, food service, and hospitality settings.
floor-care-chemicals	Regular floor maintenance extends the life of flooring materials in residential, commercial, and industrial applications.
laundry	Laundry chemicals remove dirt and stains from clothing and linens.
drain-cleaners-openers	Drain cleaners and openers ensure a long-lasting life for indoor pipes, drains, garbage disposals, grease traps, sewer lines, septic systems, and holding tanks.
calcium-lime-rust-removers	Calcium, lime, and rust removers clean oxidation and mineral deposits from hard surfaces.
adhesive-removers	Adhesive removers remove the sticky substances that decals, tape, stickers, labels, and gum leave behind on hard surfaces, including walls, furniture, and vehicles.
mold-mildew-removers	Mold and mildew removers kill mold and mildew and dissolve deep-seated stains and odors on a variety of indoor and outdoor surfaces including tile, grout, tubs, toilets, fiberglass, counters, and sinks.
graffiti-removers	Graffiti removers clean up inks, markers, paints, and most common graffiti marks from hard surfaces including concrete walls, store fronts, and inside schools.
water-repellent-fabric-protectors	Water-repellent fabric protectors resist moisture on contact to keep clothing, shoes, and outdoor items dry.
pool-chemicals	Pool chemicals balance and maintain water quality in swimming pools, hot tubs, and whirlpools in health clubs, hotels, and spas.
odor-control-chemicals-supplies	Odor control products mask or eliminate odors in the air or on surfaces to keep facilities smelling fresh and clean.
air-fresheners-odor-eliminators	Air fresheners and odor eliminators neutralize and remove odors in the air or on surfaces to keep facilities smelling fresh and clean.
air-freshener-systems	Air freshener systems mount on walls in bathrooms, locker rooms, and other small rooms to counteract foul odors.
toilet-urinal-mats	Toilet and urinal mats are placed near urinals and around toilets to absorb drips and splashes.
urinal-cakes-urinal-screens-toilet-rim-hangers	Urinal cakes, urinal screens, and toilet rim hangers are used in urinals and toilets to absorb odors and provide a fresh scent in public and workplace restrooms.
floor-cleaning-machines	Floor cleaning machines clean and beautify resilient floor surfaces.
vacuum-cleaners	Vacuum cleaners clean surfaces in commercial and industrial workplaces.
floor-scrubbers	Floor scrubbers use compatible pads or brushes to prepare and polish flooring surfaces.
burnishers-polishers	Burnishers and polishers clean and maintain hard floors.
pads-brushes	Pads and brushes clean, strip, buff, and maintain flooring.
carpet-floor-sweepers	Carpet and floor sweepers remove dust and debris from bare floors and low-pile carpets.
carpet-cleaners	Carpet cleaners remove embedded soils and stains exceeding the capabilities of conventional vacuums.
multi-surface-cleaning-machines	Multi-surface cleaning machines are powered units that wash, scrub, and dry non-porous horizontal and vertical surfaces.
steam-cleaners	Steam cleaners remove stubborn soils and grime from surfaces.
dry-wipes-rags-towels	Dry wipes, rags, and towels clean off grime, wipe away dust, and soak up spills.
dry-wipes	Dry wipes absorb spills, clean messes, and dust surfaces.
shop-towels-rags	Shop towels and rags clean up paint spills, apply stains and varnishes, and polish and dust surfaces.
microfiber-cloths	Microfiber cloths are made from highly absorbent synthetic material with extremely fine fibers that trap debris, dust, and bacteria, whether used with or without chemicals.
controlled-environment-wipes	Controlled environment wipes are used to wipe away surface contamination in sensitive environments.
add-your-own-solution-bucket-system	Add-your-own solution bucket systems hold dry wipes, while cleaning solvents of choice can be added to create wet wipes for appropriate cleaning tasks.
personal-care-dry-wipes	Personal-care dry wipes provide a sanitary, durable alternative to paper towels in extended care, healthcare, and assisted living environments.
dry-wipe-dispensers	Dry wipe dispensers store dry wipes and keep them located close to work locations.
mops-brooms-brushes	Mops, brooms, and brushes keep facilities clean and in working order.
brushes-brooms-dust-pans	Brushes, brooms, and dust pans are used to sweep up, collect, and remove debris from counters, tables, floors, and equipment.
mops-floor-finish-applicators	Mops and floor finish applicators clear dirt and dust from floors and baseboards and apply finishes or protective coatings to wood, stone, concrete, and synthetic flooring.
squeegees-window-cleaning	Window washing squeegees and equipment wash, scrub, and remove liquids and deposits from building and automotive windows.
dusters	Dusters, including dusting sheets or dusters with handles, remove dust and light debris from ceiling fans, cabinets, bookcases, tables, and countertops.
buckets-spray-bottles	Buckets and spray bottles hold and carry water, cleaning solutions, and other liquids wherever they are needed.
cleaning-buckets	Cleaning buckets and pails hold and carry water, cleaning solutions, and other liquids wherever they are needed.
spray-bottles-trigger-sprayers	Combine spray bottles with trigger sprayers to apply cleaners, degreasers, disinfectants, and other liquids.
cleaning-dispenser-containers-accessories	Cleaning dispensing containers and accessories refill cleaning chemicals and solutions in bottles and mop handles used in floor cleaning systems.
electrostatic-sprayers	Electrostatic sprayers dispense a charged mist that penetrates hard-to reach areas, sticks to surfaces, and suspends in the air to provide thorough coverage.
sponges-scouring-pads	Sponges are absorbent cleaning tools made from natural or synthetic materials used for wiping, washing, and cleaning.
cleaning-carts-caddies	Cleaning carts and caddies keep cleaning supplies, linens, and tools organized and within reach, avoiding repeated trips to a supply closet.
cleaning-carts	Cleaning carts keep cleaning supplies, linens, and tools at hand to avoid repeated trips to a supply closet.
cleaning-supplies-holders	Cleaning supplies holders organize cleaning tools including spray bottles, brushes, gloves, and other equipment.
plungers	Plungers mechanically open clogged or obstructed pipes or drains.
cleaning-janitorial-equipment-parts	Cleaning and janitorial equipment parts are used for the maintenance and repair of compatible janitorial equipment.
electrical	Electrical equipment facilitates and supplies power to devices, machines, and systems.
wire-cable-cordsets	Wire, cable, and cordsets are products that carry electrical current from a power source to devices and equipment.
automotive-electric-vehicle-ev-wire-cable	Automotive and electric vehicle wires and cables connect various electrical systems within a vehicle.
bonding-grounding-wire	Bonding and grounding wire and accessories help prevent the unsafe buildup of static electricity, reducing the risk of electric shock to workers and damage to equipment through explosions or fires.
building-wire-cable	Building wires and cables carry electrical current from power sources to devices in buildings, such as outlets or light fixtures.
bus-drop-tray-cable	Bus drop cables and tray cables are service cords that connect power supplies to machines or devices.
continuous-flexing-automation-robotics-cable	Continuous flexing automation and robotics cables are designed to withstand repeated bending, flexing, and twisting without damage.
diesel-locomotive-dlo-cable	Diesel locomotive cables, also called DLO cables, are specialty heavy-duty electric cables that are designed to withstand the demanding conditions found in locomotives and other types of trains.
direct-burial-submersible-wire-cable	Direct burial wires and submersible cables are electrical service wires placed directly in the ground without requiring conduit for protection.
fire-alarm-cables	Fire alarm cables consist of a collection of solid wire conductors encased by a protective layer of outer insulation.
hvac-control-wire-cable	HVAC control wires and cables are essential for connecting and controlling heating, ventilation, and air conditioning systems.
industrial-power-communication-cordsets	Industrial power and communication cordsets supply power to equipment and enable communication between devices.
machine-tool-specialty-wire	Machine tool and specialty wires are specially designed cables with unique or niche applications that other cable types cannot meet.
portable-cord	Portable cord is flexible and consists of one or more insulated conductors enclosed in a protective jacket.
voice-data-cables-patch-cords	Voice and data cables and patch cords transmit signals between equipment, devices, and services.
communication-control-cables	Communication and control cable transmits electric and digital signals to connect and regulate equipment and devices.
computer-cables	Computer cable transmits electric and digital signals to electronic equipment and computers.
electrical-boxes-enclosures	Electrical boxes and enclosures shield electrical components like wiring junctions, switches, and outlets from damage and protect them from inclement weather, moist environments, dust, and other hazardous surroundings.
electrical-boxes-covers	Electrical boxes and covers, also known as outlet boxes, house and shield wiring junctions from inclement weather or moist environments, hazardous locations around chemicals or gases, in bare or finished walls, or on the ground.
electrical-enclosures-accessories	Electrical enclosures and accessories protect vital electrical junctions and switches from damage.
server-rack-enclosures-accessories	Server rack enclosures and accessories house and organize servers, networking equipment, and supporting infrastructure in data centers and network installations.
conduit-fittings-strut-channel-framing	Conduit, fittings, and strut channel framing organize, route, and protect wire and cable.
conduit-fittings	Conduit and fittings form systems to route and protect wire and cable.
beam-clamps-conduit-pipe-cable-mounting-supports	Beam clamps, and conduit, pipe, and cable mounting supports provide support for conduit runs.
strut-channel-components	Strut channel products provide light support in wiring, plumbing, and mechanical applications.
electrical-connectors-wiring-devices	Electrical connectors and wiring devices facilitate the transmission of electrical and data/signal connections.
wire-connectors-terminals-lugs	Wire connectors, terminals, lugs, and power blocks facilitate the grounding or transfer of a power source between conductors and circuit points.
plugs-receptacles-wiring-devices	Plugs, receptacles, and wiring devices make and maintain electrical connections that distribute power from a source to equipment.
circular-connectors	Circular connectors facilitate the transfer of data, power, and signals between cables and equipment.
rectangular-connectors	Rectangular connectors have modular bodies that accommodate different types of connections, including data, power, pneumatic air, and electric signals.
modular-industrial-power-battery-connectors	Modular industrial power and battery connectors provide power connections in demanding industrial and commercial environments.
data-network-interface-connectors	Data and network interface connectors install on enclosures and surfaces to transfer data, signal, and power connections.
voice-data-connectors-jacks-housings	Ethernet switches have many ports that accommodate multiple devices and connect them with local area network service.
power-data-distribution-blocks	Power and data distribution boxes have terminals for attaching input and output cables to distribute electric power and signal connections.
wire-cable-management	Wire and cable management products organize and protect electrical wire and cables in high-traffic areas.
wireways	Wireways are troughs with hinged or removable covers for routing and protecting electric wire and cable in permanent, whole-facility wiring installations.
cable-ladder-wire-mesh-trays	Cable ladder and wire mesh trays are cable support systems that run large quantities of power or data cable overhead or under floors.
surface-raceways-cable-concealers	Surface raceways and cable concealers are cable management systems that mount on walls, ceilings, or floors.
wiring-ducts	Wiring ducts are troughs that guide and separate short runs of wire and cable.
cable-hangers-clips-organizers	Cable hangers, clips, and organizers organize, support, and route cable, wire, and hose.
cable-hose-carriers	Cable and hose carriers are flexible structures made of links that guide and organize moving cable and hose.
corrugated-loom-tubing	Corrugated loom tubing is flexible with alternate ridges and grooves.
cable-sleeving-wraps	Cable sleeving and wraps fit over wire, cable, and hose to bundle and protect them.
cable-ramps-cable-floor-covers	Cable ramps and cable floor covers shield cable and hose to reduce tripping hazards and prevent incidental damage due to pedestrian or vehicle traffic.
cable-ties-mounts	Cable ties and mounts bundle and support cable and wire to keep it organized and secure.
cable-grips-mesh-grips-safety-springs	Cable grips, mesh grips, and safety springs join cable to enclosures or facilitate pulling cable in trenches and conduit.
heat-shrink-cold-shrink-tubing	Heat shrink and cold shrink tubing are sleeves that form a tight seal around wire, cable, and connectors and are used for protection, insulation, and repairs.
cable-reels-for-teaching-pendants	Cable reels for teach pendants contain cables for robotic systems, keeping them organized and out of the way to prevent damage or tripping hazards.
power-strips-extension-cords-cord-reels	Power strips, extension cords, and cord reels organize cords, extend their reach, expand their capabilities, or adapt them to fit a specific receptacle.
power-strips-surge-protectors-accessories	Power strips and surge protectors supply power to multiple devices simultaneously from a single power outlet, while their accessories support, protect, or aid in installation.
extension-cords	Extension cords feature a molded outlet to accept a device's plug, extending the reach to a nearby power source.
extension-cord-reels	These cord reels hold extension cords on a spool, extending to the desired length and winding back up when not in use to keep the area organized, protect from damage, and eliminate tripping hazards.
extension-cords-with-outlet-boxes	Extension cords with outlet boxes feature a flexible electrical cable and supply temporary power to multiple devices from the same cord, such as a power tool and a light.
gfci-elci-cords-plugs-panels	GFCI (ground fault circuit interrupter) cords, plugs, and panels bring power to devices like power tools or lights in spaces that may come in contact with water, shutting them off if a ground fault is detected to prevent damage or injury…
extension-cord-adapters	Extension cord adapters create compatibility between a device's power cord plug and a power outlet receptacle when they are of different types.
grounding-rods-braids-connectors	Grounding and bonding products help prevent the unsafe buildup of static electricity, reducing the risk of electric shock to workers and damage to equipment through explosions or fires.
grounding-braids	Grounding braids ensure positive ground throughout an electrical panel or from machine and equipment components.
grounding-rods	Grounding rods and accessories connect electrical systems to the ground to safely dissipate electricity to the earth, preventing shorts to connected equipment.
isolated-ground-bars	Isolated ground bars connect multiple grounding wires in tight spaces such as cabinets and enclosures.
grounding-crimping-connectors	Grounding crimping connectors join multiple wires to rods or rebar.
fuses-circuit-breakers-safety-switches	Circuit breakers, fuses, and safety switches open circuits to stop current from flowing to protect electrical equipment and operators.
fuses-accessories	Fuses and accessories are used in electrical installations and equipment to provide overcurrent protection.
circuit-breakers-panelboards-load-centers	Circuit breakers, panelboards, and load centers protect electrical circuits from current overloads.
safety-disconnect-switches	Safety and disconnect switches provide manual control of electrical circuits to connect and disconnect power from industrial machinery, electrical systems, and motors for maintenance or in an emergency.
solar-panels-accessories	Solar panels and accessories convert sunlight to electricity.
solar-panels-kits	Solar panels and kits convert sunlight to electricity.
solar-charge-controllers	Charge controllers protect batteries from overheating or overcharging by regulating the current, or delivering the appropriate voltage to a battery to fully charge it.
pv-solar-wire	PV (Photovoltaic) solar wires connect solar panels to their power processing and distribution systems and transfer the generated power between them.
temporary-power-distribution	Temporary power distribution products provide electricity in locations where permanent electrical connections are inaccessible or unavailable.
temporary-power-distribution-boxes-carts	Temporary power distribution boxes and carts serve as hubs to connect electrical loads and have multiple outlets to distribute power.
power-centers-portable-power-stations	Power centers and portable power stations act as a combination transformer and distribution panel to regulate and distribute power from a generator, temporary power pole, or other 480V AC power source.
